row_num	source_locale	key	english	main_chinese	source_chinese	status	review_note
69	SkillLoc\Combat\en.json	675e56b03a1ae2aed78bf8cc acceptMT	Anything full auto is good with me	只要能全自动，我都喜欢。	只要能全自动，我都喜欢。	matches_source	Main mirror matches the manually reviewed source locale entry.
70	SkillLoc\Combat\en.json	675e56b03a1ae2aed78bf8cc description	Assault rifles are the most plentiful catagory of weapons in Tarkov, and more seem to be getting shipped in. They're also the most balanced, being usable in any distance. That means, if you have to pick one type of weapon to use, assault rifles makes the most sense. Let's get you started.	突击步枪是塔科夫里数量最多的一类武器，而且看起来还在不断有新货运进来。它们也是最均衡的一类，什么距离都能用。也就是说，如果你只能选一种武器来打，突击步枪最合适。先从这个开始吧。	突击步枪是塔科夫里数量最多的一类武器，而且看起来还在不断有新货运进来。它们也是最均衡的一类，什么距离都能用。也就是说，如果你只能选一种武器来打，突击步枪最合适。先从这个开始吧。	matches_source	Main mirror matches the manually reviewed source locale entry.
71	SkillLoc\Combat\en.json	675e56b03a1ae2aed78bf8cc name	Commence the Assault	发起突击	发起突击	matches_source	Main mirror matches the manually reviewed source locale entry.
72	SkillLoc\Combat\en.json	675e56b03a1ae2aed78bf8cc successMT	They're good, right? It's a shame they're usually on the expensive side.	不错吧？可惜这类枪通常都不便宜。	不错吧？可惜这类枪通常都不便宜。	matches_source	Main mirror matches the manually reviewed source locale entry.
73	SkillLoc\Combat\en.json	675e56c59f8e3bb097b60089	Kill 20 enemies with an Assault Rifle	使用突击步枪击杀20名敌人	使用突击步枪击杀20名敌人	matches_source	Main mirror matches the manually reviewed source locale entry.
74	SkillLoc\Combat\en.json	675e5a30dec56e94925867b1 acceptMT	Biggest target, best chance to hit	目标越大，越容易命中。	目标越大，越容易命中。	matches_source	Main mirror matches the manually reviewed source locale entry.
75	SkillLoc\Combat\en.json	675e5a30dec56e94925867b1 description	You seem pretty interested in assault rifles, eh? Let's make sure you know where to shoot. Center mass is going to be your best bet with AR's, unless you're confident in your headshots. Don't bother with the limbs, and try to avoid flesh ammo for this.	你看起来挺喜欢突击步枪啊？那就先确认你知道该打哪。除非你对自己的爆头很有把握，否则瞄准身体中心永远是最稳的选择。别去管四肢，这种任务也尽量别用肉伤弹。	你看起来挺喜欢突击步枪啊？那就先确认你知道该打哪。除非你对自己的爆头很有把握，否则瞄准身体中心永远是最稳的选择。别去管四肢，这种任务也尽量别用肉伤弹。	matches_source	Main mirror matches the manually reviewed source locale entry.
76	SkillLoc\Combat\en.json	675e5a30dec56e94925867b1 name	Cutting through the middle	直取中路	直取中路	matches_source	Main mirror matches the manually reviewed source locale entry.
77	SkillLoc\Combat\en.json	675e5a30dec56e94925867b1 successMT	Was armor giving you a lot of trouble? Ammo matters more than guns here. Make sure what you're loading up can pierce medium armors!	护甲让你很头疼？在这里，子弹比枪更重要。记得装上去的弹药至少得能穿中甲！	护甲让你很头疼？在这里，子弹比枪更重要。记得装上去的弹药至少得能穿中甲！	matches_source	Main mirror matches the manually reviewed source locale entry.
78	SkillLoc\Combat\en.json	675e5a78bb96716295a4564f	Kill Knight with a SCAR-H, MDR 7.62, MK47, OR MCX-SPEAR 6.8	使用 SCAR-H、MDR 7.62、MK47 或 MCX-SPEAR 6.8 击杀 Knight	使用 SCAR-H、MDR 7.62、MK47 或 MCX-SPEAR 6.8 击杀 Knight	matches_source	Main mirror matches the manually reviewed source locale entry.
79	SkillLoc\Combat\en.json	675e5a8c45c7fc6de14103b6 acceptMT	I know some good places to do this.	我知道几个适合做这个的地方。	我知道几个适合做这个的地方。	matches_source	Main mirror matches the manually reviewed source locale entry.
80	SkillLoc\Combat\en.json	675e5a8c45c7fc6de14103b6 description	The best thing about assault rifles is that they are useful in almost every situation. Excluding the extreme ranges, you will find your rifle able to stand its ground anywhere. You're probably used to medium range, so let's see how you do in close and long range.	突击步枪最强的一点，就是几乎任何场合都能派上用场。只要不是极端距离，你的步枪在哪都站得住脚。中距离你大概已经习惯了，那就让我看看你在近距离和远距离打得怎么样。	突击步枪最强的一点，就是几乎任何场合都能派上用场。只要不是极端距离，你的步枪在哪都站得住脚。中距离你大概已经习惯了，那就让我看看你在近距离和远距离打得怎么样。	matches_source	Main mirror matches the manually reviewed source locale entry.
81	SkillLoc\Combat\en.json	675e5a8c45c7fc6de14103b6 name	The most versatile weapon class	最全能的武器类别	最全能的武器类别	matches_source	Main mirror matches the manually reviewed source locale entry.
82	SkillLoc\Combat\en.json	675e5a8c45c7fc6de14103b6 successMT	Did you end up using full-auto for close, and semi-auto for long? Or maybe your favorite rifle is only semi auto!	近距离你最后是用全自动，远距离改半自动了吗？又或者，你最爱的那把本来就只能半自动！	近距离你最后是用全自动，远距离改半自动了吗？又或者，你最爱的那把本来就只能半自动！	matches_source	Main mirror matches the manually reviewed source locale entry.
83	SkillLoc\Combat\en.json	675e5abe6eaece1bb6527691	Land 30 headshots with an Assault Rifle	使用突击步枪爆头 30 次	使用突击步枪爆头 30 次	matches_source	Main mirror matches the manually reviewed source locale entry.
84	SkillLoc\Combat\en.json	675e5adec3794d962a05929d	Kill 15 enemies within 15 meters with an Assault rifle.	在15米内使用突击步枪击杀15名敌人	在15米内使用突击步枪击杀15名敌人	matches_source	Main mirror matches the manually reviewed source locale entry.
85	SkillLoc\Combat\en.json	675e5af09847ce469ccd1303 acceptMT	I'm taking his mask, as well...	他的面具我也要拿走……	他的面具我也要拿走……	matches_source	Main mirror matches the manually reviewed source locale entry.
86	SkillLoc\Combat\en.json	675e5af09847ce469ccd1303 description	Surely you've run into the goons by now, right? That Knight guy is quite a boss, rushing without fear. Why don't you show him who's the real boss around here? Take him out, and use one of his own guns to do it.	你肯定已经碰上那帮 Goons 了吧？那个叫 Knight 的家伙可真够像个头目，冲起来一点都不怕死。去让他见识一下，这地方真正的老大是谁吧。狠狠干掉他，而且得用他自己的那几把枪之一。	你肯定已经碰上那帮 Goons 了吧？那个叫 Knight 的家伙可真够像个头目，冲起来一点都不怕死。去让他见识一下，这地方真正的老大是谁吧。狠狠干掉他，而且得用他自己的那几把枪之一。	matches_source	Main mirror matches the manually reviewed source locale entry.
87	SkillLoc\Combat\en.json	675e5af09847ce469ccd1303 name	The Pawn takes the Knight	兵吃 Knight	兵吃 Knight	matches_source	Main mirror matches the manually reviewed source locale entry.
88	SkillLoc\Combat\en.json	675e5af09847ce469ccd1303 successMT	And the pawn moves D2 to take the knight!	然后兵走到 D2，吃掉 Knight！	然后兵走到 D2，吃掉 Knight！	matches_source	Main mirror matches the manually reviewed source locale entry.
89	SkillLoc\Combat\en.json	675e5bc00b41be5ccf6f766a acceptMT	Well, that's a lot of work.	这工作量可真不小。	这工作量可真不小。	matches_source	Main mirror matches the manually reviewed source locale entry.
90	SkillLoc\Combat\en.json	675e5bc00b41be5ccf6f766a description	You won't believe how many of these things there are in Tarkov. They keep shipping new ones in too! I have to keep up with that if I can... why are there so many Kalashnikovs, anyways? Oh well. Since there's so many, let's group them up by caliber and fire modes. So, weapons that can ONLY do single fire will be separated from those that can do full auto. Ah, as a bonus, I want to see a couple extreme range kills as well as a few extremely close range kills.	你绝对想不到塔科夫里这类东西有多少。而且新货还在不停往里送！我要是能跟上就好了……话说，为什么卡拉什尼科夫会有这么多种？算了。既然数量这么夸张，我们就按口径和射击模式来分。只能单发的，跟能全自动的分开算。哦，对了，顺便我还想看看几次极远距离击杀和几次贴脸击杀。	你绝对想不到塔科夫里这类东西有多少。而且新货还在不停往里送！我要是能跟上就好了……话说，为什么卡拉什尼科夫会有这么多种？算了。既然数量这么夸张，我们就按口径和射击模式来分。只能单发的，跟能全自动的分开算。哦，对了，顺便我还想看看几次极远距离击杀和几次贴脸击杀。	matches_source	Main mirror matches the manually reviewed source locale entry.
91	SkillLoc\Combat\en.json	675e5bc00b41be5ccf6f766a name	Master of firearms: Assault rifles / Carbines	枪械精通：突击步枪 / 卡宾枪	枪械精通：突击步枪 / 卡宾枪	matches_source	Main mirror matches the manually reviewed source locale entry.
92	SkillLoc\Combat\en.json	675e5bc00b41be5ccf6f766a successMT	You should be able to pick up any assault rifle you come across and use it like a master! Very good job.	现在你应该能捡起任何一把突击步枪，像老手一样把它打明白了。干得漂亮。	现在你应该能捡起任何一把突击步枪，像老手一样把它打明白了。干得漂亮。	matches_source	Main mirror matches the manually reviewed source locale entry.
93	SkillLoc\Combat\en.json	675e5f0917f35f5bd45c1d6b	Kill 5 PMCs with semi-auto 5.45x39mm	使用半自动 5.45x39mm 武器击杀5名PMC	使用半自动 5.45x39mm 武器击杀5名PMC	matches_source	Main mirror matches the manually reviewed source locale entry.
94	SkillLoc\Combat\en.json	675e6645c17fb770df3444e1 acceptMT	Powerful, accurate, can fire quickly... these are good.	有威力，有精度，射速也够快……这东西不错。	有威力，有精度，射速也够快……这东西不错。	matches_source	Main mirror matches the manually reviewed source locale entry.
95	SkillLoc\Combat\en.json	675e6645c17fb770df3444e1 description	Designated Marksman Rifles are a great hybrid weapon. You get most of the power of a bolt-action sniper rifle, and most of the versatility of an assault rifle. Let's get familiar with them, shall we?	精确射手步枪是很优秀的混合型武器。你能拿到栓动狙击步枪的大部分威力，也能拿到突击步枪的大部分灵活性。来熟悉熟悉它们，怎么样？	精确射手步枪是很优秀的混合型武器。你能拿到栓动狙击步枪的大部分威力，也能拿到突击步枪的大部分灵活性。来熟悉熟悉它们，怎么样？	matches_source	Main mirror matches the manually reviewed source locale entry.
96	SkillLoc\Combat\en.json	675e6645c17fb770df3444e1 name	Designating targets	标定目标	标定目标	matches_source	Main mirror matches the manually reviewed source locale entry.
97	SkillLoc\Combat\en.json	675e6645c17fb770df3444e1 successMT	Nice shots! The semi auto makes them a bit less desirable at close quarters, but the high damage and slow ammo consumption also makes it beneficial.	枪打得不错！半自动让它们在近距离不算占优，但高伤害和低弹耗也确实有好处。	枪打得不错！半自动让它们在近距离不算占优，但高伤害和低弹耗也确实有好处。	matches_source	Main mirror matches the manually reviewed source locale entry.
98	SkillLoc\Combat\en.json	675e666fb7e09c0a9b8210fa	Kill 15 enemies with a DMR	使用精确射手步枪击杀15名敌人	使用精确射手步枪击杀15名敌人	matches_source	Main mirror matches the manually reviewed source locale entry.
99	SkillLoc\Combat\en.json	675e6741df530679dfa8ef46 acceptMT	Gotta aim high...	得往高处瞄……	得往高处瞄……	matches_source	Main mirror matches the manually reviewed source locale entry.
100	SkillLoc\Combat\en.json	675e6741df530679dfa8ef46 description	Since DMRs fire high caliber rounds, you should only be shooting vitals. 2 to the thorax, or 1 to the head will put down most targets that aren't heavily armored. Show me you know where to aim!	既然精确射手步枪打的是大口径弹，那你就该只瞄致命部位。打两发胸腔，或者一发头部，就足够放倒大多数没穿重甲的目标。让我看看你知不知道该瞄哪！	既然精确射手步枪打的是大口径弹，那你就该只瞄致命部位。打两发胸腔，或者一发头部，就足够放倒大多数没穿重甲的目标。让我看看你知不知道该瞄哪！	matches_source	Main mirror matches the manually reviewed source locale entry.
101	SkillLoc\Combat\en.json	675e6741df530679dfa8ef46 name	Shot through the heart. Yes, you're to blame.	一枪穿心，怪你自己	一枪穿心，怪你自己	matches_source	Main mirror matches the manually reviewed source locale entry.
102	SkillLoc\Combat\en.json	675e6741df530679dfa8ef46 successMT	Yeah, just like that. Keep doing that, you're gonna have an easy time.	对，就是这样。继续这么打，你会轻松很多。	对，就是这样。继续这么打，你会轻松很多。	matches_source	Main mirror matches the manually reviewed source locale entry.
103	SkillLoc\Combat\en.json	675e676647b8e13978be08a9	Kill Shturman with an SVDS or a G28	使用 SVDS 或 G28 击杀 Shturman	使用 SVDS 或 G28 击杀 Shturman	matches_source	Main mirror matches the manually reviewed source locale entry.
104	SkillLoc\Combat\en.json	675e67804ec1c53a5dff7630 acceptMT	Now how do I want to go about this...	该怎么做比较好呢……	该怎么做比较好呢……	matches_source	Main mirror matches the manually reviewed source locale entry.
105	SkillLoc\Combat\en.json	675e67804ec1c53a5dff7630 description	Marksman rifles assume there's a marksman in you... not only does this mean that you defeat your targets properly, but that you know when it is time to disengage. I have a special challenge for you: Kill a certain number of people in one raid, while staying below a damage threshold. You might want a secondary weapon to protect you on your way to extract once its done.	既然叫精确射手步枪，那你就得有个射手的样子……这不光意味着你要把目标干净利落地解决，也意味着你得知道什么时候该脱离战斗。我给你个特别挑战：在单场战局内击杀指定人数，同时把伤害控制在阈值以下。等这事做完、往撤离点走的时候，你最好带把副武器防身。	既然叫精确射手步枪，那你就得有个射手的样子……这不光意味着你要把目标干净利落地解决，也意味着你得知道什么时候该脱离战斗。我给你个特别挑战：在单场战局内击杀指定人数，同时把伤害控制在阈值以下。等这事做完、往撤离点走的时候，你最好带把副武器防身。	matches_source	Main mirror matches the manually reviewed source locale entry.
106	SkillLoc\Combat\en.json	675e67804ec1c53a5dff7630 name	Quality over Quantity	重质不重量	重质不重量	matches_source	Main mirror matches the manually reviewed source locale entry.
107	SkillLoc\Combat\en.json	675e67804ec1c53a5dff7630 successMT	Pretty good shooting there, friend. It's good for your bank account too, y'know. Less bullets used = less money spent.	打得相当不错，朋友。对你的钱包也有好处，知道吧。子弹打得少，花的钱就少。	打得相当不错，朋友。对你的钱包也有好处，知道吧。子弹打得少，花的钱就少。	matches_source	Main mirror matches the manually reviewed source locale entry.
108	SkillLoc\Combat\en.json	675e67a055b3b21df665b596	Land 75 shots on the thorax with a DMR	使用精确射手步枪命中胸腔75次	使用精确射手步枪命中胸腔75次	matches_source	Main mirror matches the manually reviewed source locale entry.
109	SkillLoc\Combat\en.json	675e67a56061ed65f31427af	Land 20 headshots with a DMR	使用精确射手步枪爆头 20 次	使用精确射手步枪爆头 20 次	matches_source	Main mirror matches the manually reviewed source locale entry.
110	SkillLoc\Combat\en.json	675e67c8ac30b26478d3c0b3 acceptMT	Hate that guy...	真讨厌那家伙……	真讨厌那家伙……	matches_source	Main mirror matches the manually reviewed source locale entry.
111	SkillLoc\Combat\en.json	675e67c8ac30b26478d3c0b3 description	If you want to be a good marksman, it might be worth taking a few notes from that guy watching over the sawmill in Woods. Why don't you go show him that you're better at spotting than he is?	如果你想当个好射手，不妨从森林锯木厂那位看场子的家伙身上学几手。去让他见识一下，你在发现目标这件事上比他更强。	如果你想当个好射手，不妨从森林锯木厂那位看场子的家伙身上学几手。去让他见识一下，你在发现目标这件事上比他更强。	matches_source	Main mirror matches the manually reviewed source locale entry.
112	SkillLoc\Combat\en.json	675e67c8ac30b26478d3c0b3 name	New park ranger	新任护林员	新任护林员	matches_source	Main mirror matches the manually reviewed source locale entry.
113	SkillLoc\Combat\en.json	675e67c8ac30b26478d3c0b3 successMT	Nice shots! The semi auto makes them a bit less desirable at close quarters, but the high damage and slow ammo consumption also makes it beneficial.	枪打得不错！半自动让它们在近距离不算占优，但高伤害和低弹耗也确实有好处。	枪打得不错！半自动让它们在近距离不算占优，但高伤害和低弹耗也确实有好处。	matches_source	Main mirror matches the manually reviewed source locale entry.
114	SkillLoc\Combat\en.json	675e68435fe53beaade07c06 acceptMT	Where am I gonna get that MK-18?	我上哪去弄那把 MK-18？	我上哪去弄那把 MK-18？	matches_source	Main mirror matches the manually reviewed source locale entry.
115	SkillLoc\Combat\en.json	675e68435fe53beaade07c06 description	Don't you wish there were more DMRs in Tarkov? Such a nice weapon type... oh well. Since there's so few, you gotta use each of them.	你不觉得塔科夫里的精确射手步枪太少了吗？这么好的武器类型……算了。正因为数量少，你得把每一把都用一遍。	你不觉得塔科夫里的精确射手步枪太少了吗？这么好的武器类型……算了。正因为数量少，你得把每一把都用一遍。	matches_source	Main mirror matches the manually reviewed source locale entry.
116	SkillLoc\Combat\en.json	675e68435fe53beaade07c06 name	Master of firearms: Designated Marksman Rifles (part 1)	枪械精通：精确射手步枪（上）	枪械精通：精确射手步枪（上）	matches_source	Main mirror matches the manually reviewed source locale entry.
117	SkillLoc\Combat\en.json	675e68435fe53beaade07c06 successMT	Nowhere is safe from your eye. Beautiful shooting, mate.	在你的视野下，已经没有安全地带了。枪法真漂亮，伙计。	在你的视野下，已经没有安全地带了。枪法真漂亮，伙计。	matches_source	Main mirror matches the manually reviewed source locale entry.
118	SkillLoc\Combat\en.json	675e6872e25b06421dcdcece	Kill 15 PMCs with the HK G28	使用 HK G28 击杀15名PMC	使用 HK G28 击杀15名PMC	matches_source	Main mirror matches the manually reviewed source locale entry.
119	SkillLoc\Combat\en.json	675e687e739aaeed6a1b196e	Kill 15 PMCs with the M1A	使用 M1A 击杀15名PMC	使用 M1A 击杀15名PMC	matches_source	Main mirror matches the manually reviewed source locale entry.
120	SkillLoc\Combat\en.json	675e688a98eba1862865ce02	Kill 15 PMCs with the MK-18	使用 MK-18 击杀15名PMC	使用 MK-18 击杀15名PMC	matches_source	Main mirror matches the manually reviewed source locale entry.
121	SkillLoc\Combat\en.json	675e6895788b6927fb70035e	Kill 15 PMCs with the RSASS	使用 RSASS 击杀15名PMC	使用 RSASS 击杀15名PMC	matches_source	Main mirror matches the manually reviewed source locale entry.
122	SkillLoc\Combat\en.json	675e68a3d729f77de01bd8ab	Kill 15 PMCs with the SR-25	使用 SR-25 击杀15名PMC	使用 SR-25 击杀15名PMC	matches_source	Main mirror matches the manually reviewed source locale entry.
123	SkillLoc\Combat\en.json	675e68a8aa003948dabaffd7	Kill 15 PMCs with the SVDS	使用 SVDS 击杀15名PMC	使用 SVDS 击杀15名PMC	matches_source	Main mirror matches the manually reviewed source locale entry.
124	SkillLoc\Combat\en.json	675e68baf4c284eb54b7f48c	Kill 15 PMCs with the VSS	使用 VSS 击杀15名PMC	使用 VSS 击杀15名PMC	matches_source	Main mirror matches the manually reviewed source locale entry.
125	SkillLoc\Combat\en.json	675e6bc9e4c92c46a57ef4ea acceptMT	Lock and load.	上膛，开火。	上膛，开火。	matches_source	Main mirror matches the manually reviewed source locale entry.
126	SkillLoc\Combat\en.json	675e6bc9e4c92c46a57ef4ea description	Some new LMGS around here recently, you noticed? High caliber as well, rather deadly... Why not learn how to use them?	最近这附近多了几挺新轻机枪，你注意到了吗？还都是大口径，杀伤力不小……不如学学怎么用它们？	最近这附近多了几挺新轻机枪，你注意到了吗？还都是大口径，杀伤力不小……不如学学怎么用它们？	matches_source	Main mirror matches the manually reviewed source locale entry.
127	SkillLoc\Combat\en.json	675e6bc9e4c92c46a57ef4ea name	Suppressive fire	压制火力	压制火力	matches_source	Main mirror matches the manually reviewed source locale entry.
128	SkillLoc\Combat\en.json	675e6bc9e4c92c46a57ef4ea successMT	How's the weight? They really aren't being very truthful when they call it 'light', are they?	重量感觉如何？它们自称“轻机枪”，可一点也不轻，对吧？	重量感觉如何？它们自称“轻机枪”，可一点也不轻，对吧？	matches_source	Main mirror matches the manually reviewed source locale entry.
129	SkillLoc\Combat\en.json	675e6bffc11b52656c4719b8	Kill 20 enemies with LMGs	使用轻机枪击杀20名敌人	使用轻机枪击杀20名敌人	matches_source	Main mirror matches the manually reviewed source locale entry.
130	SkillLoc\Combat\en.json	675e6c4e5f5c048d625b3120 acceptMT	Das a lotta boolets	这子弹可真不少。	这子弹可真不少。	matches_source	Main mirror matches the manually reviewed source locale entry.
131	SkillLoc\Combat\en.json	675e6c4e5f5c048d625b3120 description	You know what's great about an LMG? You can just keep firing that sucker. That means any place is good for shooting, cause they're gonna fall eventually. Go shoot a bunch of people. Cause it's fun. Or something. Who caused this, again? The fall of humanity has really led to some interesting places.	你知道轻机枪最大的好处是什么吗？就是这玩意能一直喷。那就意味着，哪都能打，反正最后总会倒下。去狠狠干一票吧。因为很爽。或者别的什么。到底是谁把事情搞成这样的来着？人类的堕落还真把一切带到了有意思的地方。	你知道轻机枪最大的好处是什么吗？就是这玩意能一直喷。那就意味着，哪都能打，反正最后总会倒下。去狠狠干一票吧。因为很爽。或者别的什么。到底是谁把事情搞成这样的来着？人类的堕落还真把一切带到了有意思的地方。	matches_source	Main mirror matches the manually reviewed source locale entry.
132	SkillLoc\Combat\en.json	675e6c4e5f5c048d625b3120 name	Spray and pray	扫射祈祷	扫射祈祷	matches_source	Main mirror matches the manually reviewed source locale entry.
